a1_wP_a1
a1_wN_a1
a1_wB_a1
a1_wR_a1
a1_wQ_a1
a1_bP_a1
a1_bN_a1
a1_bB_a1
a1_bR_a1
a1_bQ_a1
a1_wP_a2
a1_wN_a2
a1_wB_a2
a1_wR_a2
a1_wQ_a2
a1_bP_a2
a1_bN_a2
a1_bB_a2
a1_bR_a2
a1_bQ_a2
a1_wP_a3
a1_wN_a3
a1_wB_a3
a1_wR_a3
a1_wQ_a3
a1_bP_a3
a1_bN_a3
a1_bB_a3
a1_bR_a3
a1_bQ_a3
a1_wP_a4
a1_wN_a4
a1_wB_a4
a1_wR_a4
a1_wQ_a4
a1_bP_a4
a1_bN_a4
a1_bB_a4
a1_bR_a4
a1_bQ_a4
a1_wP_a5
a1_wN_a5
a1_wB_a5
a1_wR_a5
a1_wQ_a5
a1_bP_a5
a1_bN_a5
a1_bB_a5
a1_bR_a5
a1_bQ_a5
a1_wP_a6
a1_wN_a6
a1_wB_a6
a1_wR_a6
a1_wQ_a6
a1_bP_a6
a1_bN_a6
a1_bB_a6
a1_bR_a6
a1_bQ_a6
a1_wP_a7
a1_wN_a7
a1_wB_a7
a1_wR_a7
a1_wQ_a7
a1_bP_a7
a1_bN_a7
a1_bB_a7
a1_bR_a7
a1_bQ_a7
a1_wP_a8
a1_wN_a8
a1_wB_a8
a1_wR_a8
a1_wQ_a8
a1_bP_a8
a1_bN_a8
a1_bB_a8
a1_bR_a8
a1_bQ_a8
a1_wP_b1
a1_wN_b1
a1_wB_b1
a1_wR_b1
a1_wQ_b1
a1_bP_b1
a1_bN_b1
a1_bB_b1
a1_bR_b1
a1_bQ_b1
a1_wP_b2
a1_wN_b2
a1_wB_b2
a1_wR_b2
a1_wQ_b2
a1_bP_b2
a1_bN_b2
a1_bB_b2
a1_bR_b2
a1_bQ_b2
a1_wP_b3
a1_wN_b3
a1_wB_b3
a1_wR_b3
a1_wQ_b3
a1_bP_b3
a1_bN_b3
a1_bB_b3
a1_bR_b3
a1_bQ_b3
a1_wP_b4
a1_wN_b4
a1_wB_b4
a1_wR_b4
a1_wQ_b4
a1_bP_b4
a1_bN_b4
a1_bB_b4
a1_bR_b4
a1_bQ_b4
a1_wP_b5
a1_wN_b5
a1_wB_b5
a1_wR_b5
a1_wQ_b5
a1_bP_b5
a1_bN_b5
a1_bB_b5
a1_bR_b5
a1_bQ_b5
a1_wP_b6
a1_wN_b6
a1_wB_b6
a1_wR_b6
a1_wQ_b6
a1_bP_b6
a1_bN_b6
a1_bB_b6
a1_bR_b6
a1_bQ_b6
a1_wP_b7
a1_wN_b7
a1_wB_b7
a1_wR_b7
a1_wQ_b7
a1_bP_b7
a1_bN_b7
a1_bB_b7
a1_bR_b7
a1_bQ_b7
a1_wP_b8
a1_wN_b8
a1_wB_b8
a1_wR_b8
a1_wQ_b8
a1_bP_b8
a1_bN_b8
a1_bB_b8
a1_bR_b8
a1_bQ_b8
a1_wP_c1
a1_wN_c1
a1_wB_c1
a1_wR_c1
a1_wQ_c1
a1_bP_c1
a1_bN_c1
a1_bB_c1
a1_bR_c1
a1_bQ_c1
a1_wP_c2
a1_wN_c2
a1_wB_c2
a1_wR_c2
a1_wQ_c2
a1_bP_c2
a1_bN_c2
a1_bB_c2
a1_bR_c2
a1_bQ_c2
a1_wP_c3
a1_wN_c3
a1_wB_c3
a1_wR_c3
a1_wQ_c3
a1_bP_c3
a1_bN_c3
a1_bB_c3
a1_bR_c3
a1_bQ_c3
a1_wP_c4
a1_wN_c4
a1_wB_c4
a1_wR_c4
a1_wQ_c4
a1_bP_c4
a1_bN_c4
a1_bB_c4
a1_bR_c4
a1_bQ_c4
a1_wP_c5
a1_wN_c5
a1_wB_c5
a1_wR_c5
a1_wQ_c5
a1_bP_c5
a1_bN_c5
a1_bB_c5
a1_bR_c5
a1_bQ_c5
a1_wP_c6
a1_wN_c6
a1_wB_c6
a1_wR_c6
a1_wQ_c6
a1_bP_c6
a1_bN_c6
a1_bB_c6
a1_bR_c6
a1_bQ_c6
a1_wP_c7
a1_wN_c7
a1_wB_c7
a1_wR_c7
a1_wQ_c7
a1_bP_c7
a1_bN_c7
a1_bB_c7
a1_bR_c7
a1_bQ_c7
a1_wP_c8
a1_wN_c8
a1_wB_c8
a1_wR_c8
a1_wQ_c8
a1_bP_c8
a1_bN_c8
a1_bB_c8
a1_bR_c8
a1_bQ_c8
a1_wP_d1
a1_wN_d1
a1_wB_d1
a1_wR_d1
a1_wQ_d1
a1_bP_d1
a1_bN_d1
a1_bB_d1
a1_bR_d1
a1_bQ_d1
a1_wP_d2
a1_wN_d2
a1_wB_d2
a1_wR_d2
a1_wQ_d2
a1_bP_d2
a1_bN_d2
a1_bB_d2
a1_bR_d2
a1_bQ_d2
a1_wP_d3
a1_wN_d3
a1_wB_d3
a1_wR_d3
a1_wQ_d3
a1_bP_d3
a1_bN_d3
a1_bB_d3
a1_bR_d3
a1_bQ_d3
a1_wP_d4
a1_wN_d4
a1_wB_d4
a1_wR_d4
a1_wQ_d4
a1_bP_d4
a1_bN_d4
a1_bB_d4
a1_bR_d4
a1_bQ_d4
a1_wP_d5
a1_wN_d5
a1_wB_d5
a1_wR_d5
a1_wQ_d5
a1_bP_d5
a1_bN_d5
a1_bB_d5
a1_bR_d5
a1_bQ_d5
a1_wP_d6
a1_wN_d6
a1_wB_d6
a1_wR_d6
a1_wQ_d6
a1_bP_d6
a1_bN_d6
a1_bB_d6
a1_bR_d6
a1_bQ_d6
a1_wP_d7
a1_wN_d7
a1_wB_d7
a1_wR_d7
a1_wQ_d7
a1_bP_d7
a1_bN_d7
a1_bB_d7
a1_bR_d7
a1_bQ_d7
a1_wP_d8
a1_wN_d8
a1_wB_d8
a1_wR_d8
a1_wQ_d8
a1_bP_d8
a1_bN_d8
a1_bB_d8
a1_bR_d8
a1_bQ_d8
a1_wP_e1
a1_wN_e1
a1_wB_e1
a1_wR_e1
a1_wQ_e1
a1_bP_e1
a1_bN_e1
a1_bB_e1
a1_bR_e1
a1_bQ_e1
a1_wP_e2
a1_wN_e2
a1_wB_e2
a1_wR_e2
a1_wQ_e2
a1_bP_e2
a1_bN_e2
a1_bB_e2
a1_bR_e2
a1_bQ_e2
a1_wP_e3
a1_wN_e3
a1_wB_e3
a1_wR_e3
a1_wQ_e3
a1_bP_e3
a1_bN_e3
a1_bB_e3
a1_bR_e3
a1_bQ_e3
a1_wP_e4
a1_wN_e4
a1_wB_e4
a1_wR_e4
a1_wQ_e4
a1_bP_e4
a1_bN_e4
a1_bB_e4
a1_bR_e4
a1_bQ_e4
a1_wP_e5
a1_wN_e5
a1_wB_e5
a1_wR_e5
a1_wQ_e5
a1_bP_e5
a1_bN_e5
a1_bB_e5
a1_bR_e5
a1_bQ_e5
a1_wP_e6
a1_wN_e6
a1_wB_e6
a1_wR_e6
a1_wQ_e6
a1_bP_e6
a1_bN_e6
a1_bB_e6
a1_bR_e6
a1_bQ_e6
a1_wP_e7
a1_wN_e7
a1_wB_e7
a1_wR_e7
a1_wQ_e7
a1_bP_e7
a1_bN_e7
a1_bB_e7
a1_bR_e7
a1_bQ_e7
a1_wP_e8
a1_wN_e8
a1_wB_e8
a1_wR_e8
a1_wQ_e8
a1_bP_e8
a1_bN_e8
a1_bB_e8
a1_bR_e8
a1_bQ_e8
a1_wP_f1
a1_wN_f1
a1_wB_f1
a1_wR_f1
a1_wQ_f1
a1_bP_f1
a1_bN_f1
a1_bB_f1
a1_bR_f1
a1_bQ_f1
a1_wP_f2
a1_wN_f2
a1_wB_f2
a1_wR_f2
a1_wQ_f2
a1_bP_f2
a1_bN_f2
a1_bB_f2
a1_bR_f2
a1_bQ_f2
a1_wP_f3
a1_wN_f3
a1_wB_f3
a1_wR_f3
a1_wQ_f3
a1_bP_f3
a1_bN_f3
a1_bB_f3
a1_bR_f3
a1_bQ_f3
a1_wP_f4
a1_wN_f4
a1_wB_f4
a1_wR_f4
a1_wQ_f4
a1_bP_f4
a1_bN_f4
a1_bB_f4
a1_bR_f4
a1_bQ_f4
a1_wP_f5
a1_wN_f5
a1_wB_f5
a1_wR_f5
a1_wQ_f5
a1_bP_f5
a1_bN_f5
a1_bB_f5
a1_bR_f5
a1_bQ_f5
a1_wP_f6
a1_wN_f6
a1_wB_f6
a1_wR_f6
a1_wQ_f6
a1_bP_f6
a1_bN_f6
a1_bB_f6
a1_bR_f6
a1_bQ_f6
a1_wP_f7
a1_wN_f7
a1_wB_f7
a1_wR_f7
a1_wQ_f7
a1_bP_f7
a1_bN_f7
a1_bB_f7
a1_bR_f7
a1_bQ_f7
a1_wP_f8
a1_wN_f8
a1_wB_f8
a1_wR_f8
a1_wQ_f8
a1_bP_f8
a1_bN_f8
a1_bB_f8
a1_bR_f8
a1_bQ_f8
a1_wP_g1
a1_wN_g1
a1_wB_g1
a1_wR_g1
a1_wQ_g1
a1_bP_g1
a1_bN_g1
a1_bB_g1
a1_bR_g1
a1_bQ_g1
a1_wP_g2
a1_wN_g2
a1_wB_g2
a1_wR_g2
a1_wQ_g2
a1_bP_g2
a1_bN_g2
a1_bB_g2
a1_bR_g2
a1_bQ_g2
a1_wP_g3
a1_wN_g3
a1_wB_g3
a1_wR_g3
a1_wQ_g3
a1_bP_g3
a1_bN_g3
a1_bB_g3
a1_bR_g3
a1_bQ_g3
a1_wP_g4
a1_wN_g4
a1_wB_g4
a1_wR_g4
a1_wQ_g4
a1_bP_g4
a1_bN_g4
a1_bB_g4
a1_bR_g4
a1_bQ_g4
a1_wP_g5
a1_wN_g5
a1_wB_g5
a1_wR_g5
a1_wQ_g5
a1_bP_g5
a1_bN_g5
a1_bB_g5
a1_bR_g5
a1_bQ_g5
a1_wP_g6
a1_wN_g6
a1_wB_g6
a1_wR_g6
a1_wQ_g6
a1_bP_g6
a1_bN_g6
a1_bB_g6
a1_bR_g6
a1_bQ_g6
a1_wP_g7
a1_wN_g7
a1_wB_g7
a1_wR_g7
a1_wQ_g7
a1_bP_g7
a1_bN_g7
a1_bB_g7
a1_bR_g7
a1_bQ_g7
a1_wP_g8
a1_wN_g8
a1_wB_g8
a1_wR_g8
a1_wQ_g8
a1_bP_g8
a1_bN_g8
a1_bB_g8
a1_bR_g8
a1_bQ_g8
a1_wP_h1
a1_wN_h1
a1_wB_h1
a1_wR_h1
a1_wQ_h1
a1_bP_h1
a1_bN_h1
a1_bB_h1
a1_bR_h1
a1_bQ_h1
a1_wP_h2
a1_wN_h2
a1_wB_h2
a1_wR_h2
a1_wQ_h2
a1_bP_h2
a1_bN_h2
a1_bB_h2
a1_bR_h2
a1_bQ_h2
a1_wP_h3
a1_wN_h3
a1_wB_h3
a1_wR_h3
a1_wQ_h3
a1_bP_h3
a1_bN_h3
a1_bB_h3
a1_bR_h3
a1_bQ_h3
a1_wP_h4
a1_wN_h4
a1_wB_h4
a1_wR_h4
a1_wQ_h4
a1_bP_h4
a1_bN_h4
a1_bB_h4
a1_bR_h4
a1_bQ_h4
a1_wP_h5
a1_wN_h5
a1_wB_h5
a1_wR_h5
a1_wQ_h5
a1_bP_h5
a1_bN_h5
a1_bB_h5
a1_bR_h5
a1_bQ_h5
a1_wP_h6
a1_wN_h6
a1_wB_h6
a1_wR_h6
a1_wQ_h6
a1_bP_h6
a1_bN_h6
a1_bB_h6
a1_bR_h6
a1_bQ_h6
a1_wP_h7
a1_wN_h7
a1_wB_h7
a1_wR_h7
a1_wQ_h7
a1_bP_h7
a1_bN_h7
a1_bB_h7
a1_bR_h7
a1_bQ_h7
a1_wP_h8
a1_wN_h8
a1_wB_h8
a1_wR_h8
a1_wQ_h8
a1_bP_h8
a1_bN_h8
a1_bB_h8
a1_bR_h8
a1_bQ_h8
b1_wP_a1
b1_wN_a1
b1_wB_a1
b1_wR_a1
b1_wQ_a1
b1_bP_a1
b1_bN_a1
b1_bB_a1
b1_bR_a1
b1_bQ_a1
b1_wP_a2
b1_wN_a2
b1_wB_a2
b1_wR_a2
b1_wQ_a2
b1_bP_a2
b1_bN_a2
b1_bB_a2
b1_bR_a2
b1_bQ_a2
b1_wP_a3
b1_wN_a3
b1_wB_a3
b1_wR_a3
b1_wQ_a3
b1_bP_a3
b1_bN_a3
b1_bB_a3
b1_bR_a3
b1_bQ_a3
b1_wP_a4
b1_wN_a4
b1_wB_a4
b1_wR_a4
b1_wQ_a4
b1_bP_a4
b1_bN_a4
b1_bB_a4
b1_bR_a4
b1_bQ_a4
b1_wP_a5
b1_wN_a5
b1_wB_a5
b1_wR_a5
b1_wQ_a5
b1_bP_a5
b1_bN_a5
b1_bB_a5
b1_bR_a5
b1_bQ_a5
b1_wP_a6
b1_wN_a6
b1_wB_a6
b1_wR_a6
b1_wQ_a6
b1_bP_a6
b1_bN_a6
b1_bB_a6
b1_bR_a6
b1_bQ_a6
b1_wP_a7
b1_wN_a7
b1_wB_a7
b1_wR_a7
b1_wQ_a7
b1_bP_a7
b1_bN_a7
b1_bB_a7
b1_bR_a7
b1_bQ_a7
b1_wP_a8
b1_wN_a8
b1_wB_a8
b1_wR_a8
b1_wQ_a8
b1_bP_a8
b1_bN_a8
b1_bB_a8
b1_bR_a8
b1_bQ_a8
b1_wP_b1
b1_wN_b1
b1_wB_b1
b1_wR_b1
b1_wQ_b1
b1_bP_b1
b1_bN_b1
b1_bB_b1
b1_bR_b1
b1_bQ_b1
b1_wP_b2
b1_wN_b2
b1_wB_b2
b1_wR_b2
b1_wQ_b2
b1_bP_b2
b1_bN_b2
b1_bB_b2
b1_bR_b2
b1_bQ_b2
b1_wP_b3
b1_wN_b3
b1_wB_b3
b1_wR_b3
b1_wQ_b3
b1_bP_b3
b1_bN_b3
b1_bB_b3
b1_bR_b3
b1_bQ_b3
b1_wP_b4
b1_wN_b4
b1_wB_b4
b1_wR_b4
b1_wQ_b4
b1_bP_b4
b1_bN_b4
b1_bB_b4
b1_bR_b4
b1_bQ_b4
b1_wP_b5
b1_wN_b5
b1_wB_b5
b1_wR_b5
b1_wQ_b5
b1_bP_b5
b1_bN_b5
b1_bB_b5
b1_bR_b5
b1_bQ_b5
b1_wP_b6
b1_wN_b6
b1_wB_b6
b1_wR_b6
b1_wQ_b6
b1_bP_b6
b1_bN_b6
b1_bB_b6
b1_bR_b6
b1_bQ_b6
b1_wP_b7
b1_wN_b7
b1_wB_b7
b1_wR_b7
b1_wQ_b7
b1_bP_b7
b1_bN_b7
b1_bB_b7
b1_bR_b7
b1_bQ_b7
b1_wP_b8
b1_wN_b8
b1_wB_b8
b1_wR_b8
b1_wQ_b8
b1_bP_b8
b1_bN_b8
b1_bB_b8
b1_bR_b8
b1_bQ_b8
b1_wP_c1
b1_wN_c1
b1_wB_c1
b1_wR_c1
b1_wQ_c1
b1_bP_c1
b1_bN_c1
b1_bB_c1
b1_bR_c1
b1_bQ_c1
b1_wP_c2
b1_wN_c2
b1_wB_c2
b1_wR_c2
b1_wQ_c2
b1_bP_c2
